Date,Time,Open,High,Low,Close,Tick volume
2023.05.01,00:00:00,1.10106,1.10143,1.10064,1.10068,1635
2023.05.01,00:30:00,1.10068,1.10104,1.10045,1.10055,1210
2023.05.01,01:00:00,1.10055,1.10064,1.10024,1.10058,1271
2023.05.01,01:30:00,1.10057,1.10084,1.1002,1.1004,1264
2023.05.01,02:00:00,1.10037,1.10042,1.10007,1.10031,1055
2023.05.01,02:30:00,1.1003,1.10081,1.10026,1.10081,957
2023.05.01,03:00:00,1.10081,1.10119,1.10053,1.10112,971
2023.05.01,03:30:00,1.10112,1.1014,1.10083,1.1014,963
2023.05.01,04:00:00,1.10143,1.10143,1.10098,1.10133,990
2023.05.01,04:30:00,1.10134,1.10134,1.10032,1.10062,893
2023.05.01,05:00:00,1.10063,1.10063,1.10027,1.10032,1126
2023.05.01,05:30:00,1.1003,1.10087,1.10008,1.10059,1103
2023.05.01,06:00:00,1.1006,1.10064,1.09949,1.09967,1765
2023.05.01,06:30:00,1.09967,1.10055,1.09947,1.09977,2007
2023.05.01,07:00:00,1.09978,1.10057,1.09971,1.10021,2151
2023.05.01,07:30:00,1.10022,1.10046,1.09963,1.10033,1819
2023.05.01,08:00:00,1.10033,1.10033,1.09919,1.09943,1890
2023.05.01,08:30:00,1.09942,1.09974,1.09914,1.09921,1564
2023.05.01,09:00:00,1.09921,1.10008,1.09882,1.10003,1358
2023.05.01,09:30:00,1.10003,1.10044,1.09988,1.10031,1120
2023.05.01,10:00:00,1.10029,1.10068,1.09996,1.10022,1574
2023.05.01,10:30:00,1.10022,1.10095,1.10006,1.10088,902
2023.05.01,11:00:00,1.10091,1.10118,1.10063,1.10109,1398
2023.05.01,11:30:00,1.10109,1.1014,1.10082,1.10133,1763
2023.05.01,12:00:00,1.10134,1.10199,1.10077,1.10166,2579
2023.05.01,12:30:00,1.10164,1.10335,1.10131,1.10327,3677
2023.05.01,13:00:00,1.10328,1.10355,1.10208,1.10248,2717
2023.05.01,13:30:00,1.1025,1.10274,1.1018,1.10187,3241
2023.05.01,14:00:00,1.10186,1.10186,1.09834,1.09852,7338
2023.05.01,14:30:00,1.09852,1.09919,1.09778,1.09815,4667
2023.05.01,15:00:00,1.09814,1.0982,1.09679,1.09689,3758
2023.05.01,15:30:00,1.09689,1.09716,1.09661,1.09692,2464
2023.05.01,16:00:00,1.09692,1.09706,1.09643,1.09662,1594
2023.05.01,16:30:00,1.09662,1.09714,1.09648,1.09675,1900
