Date,Time,Open,High,Low,Close,Tick volume
2023.05.01,00:00:00,1.10106,1.10143,1.10102,1.10107,943
2023.05.01,00:15:00,1.10107,1.10111,1.10064,1.10068,692
2023.05.01,00:30:00,1.10068,1.10098,1.10063,1.10089,412
2023.05.01,00:45:00,1.10088,1.10104,1.10045,1.10055,798
2023.05.01,01:00:00,1.10055,1.10064,1.10028,1.10037,698
2023.05.01,01:15:00,1.10038,1.1006,1.10024,1.10058,573
2023.05.01,01:30:00,1.10057,1.10084,1.10046,1.10054,653
2023.05.01,01:45:00,1.10054,1.10058,1.1002,1.1004,611
2023.05.01,02:00:00,1.10037,1.10042,1.10009,1.10024,557
2023.05.01,02:15:00,1.10025,1.10033,1.10007,1.10031,498
2023.05.01,02:30:00,1.1003,1.10066,1.10026,1.10059,524
2023.05.01,02:45:00,1.1006,1.10081,1.10045,1.10081,433
2023.05.01,03:00:00,1.10081,1.10106,1.10053,1.10093,600
2023.05.01,03:15:00,1.10092,1.10119,1.10086,1.10112,371
2023.05.01,03:30:00,1.10112,1.10112,1.10083,1.10092,431
2023.05.01,03:45:00,1.10093,1.1014,1.10087,1.1014,532
2023.05.01,04:00:00,1.10143,1.10143,1.10106,1.10115,462
2023.05.01,04:15:00,1.10115,1.10135,1.10098,1.10133,528
2023.05.01,04:30:00,1.10134,1.10134,1.10083,1.10083,451
2023.05.01,04:45:00,1.10083,1.10087,1.10032,1.10062,442
2023.05.01,05:00:00,1.10063,1.10063,1.10038,1.10043,540
2023.05.01,05:15:00,1.10044,1.1006,1.10027,1.10032,586
2023.05.01,05:30:00,1.1003,1.10078,1.10008,1.10073,608
2023.05.01,05:45:00,1.10073,1.10087,1.10041,1.10059,495
2023.05.01,06:00:00,1.1006,1.10064,1.1001,1.10026,987
2023.05.01,06:15:00,1.10024,1.10024,1.09949,1.09967,778
2023.05.01,06:30:00,1.09967,1.10015,1.09947,1.10015,987
2023.05.01,06:45:00,1.10015,1.10055,1.09964,1.09977,1020
2023.05.01,07:00:00,1.09978,1.10043,1.09977,1.09987,1111
2023.05.01,07:15:00,1.09987,1.10057,1.09971,1.10021,1040
2023.05.01,07:30:00,1.10022,1.10046,1.09963,1.10003,1055
2023.05.01,07:45:00,1.10003,1.10033,1.09973,1.10033,764
2023.05.01,08:00:00,1.10033,1.10033,1.09974,1.09991,964
2023.05.01,08:15:00,1.09991,1.09992,1.09919,1.09943,926
2023.05.01,08:30:00,1.09942,1.09964,1.09914,1.09959,871
2023.05.01,08:45:00,1.09959,1.09974,1.09914,1.09921,693
2023.05.01,09:00:00,1.09921,1.09954,1.09882,1.09945,693
2023.05.01,09:15:00,1.09945,1.10008,1.09937,1.10003,665
2023.05.01,09:30:00,1.10003,1.10022,1.09988,1.10021,447
2023.05.01,09:45:00,1.10022,1.10044,1.10016,1.10031,673
2023.05.01,10:00:00,1.10029,1.10068,1.10019,1.10022,907
2023.05.01,10:15:00,1.10023,1.10031,1.09996,1.10022,667
2023.05.01,10:30:00,1.10022,1.10062,1.10006,1.10062,492
2023.05.01,10:45:00,1.10063,1.10095,1.10046,1.10088,410
2023.05.01,11:00:00,1.10091,1.10099,1.10066,1.1007,659
2023.05.01,11:15:00,1.10069,1.10118,1.10063,1.10109,739
2023.05.01,11:30:00,1.10109,1.10138,1.10088,1.10105,896
2023.05.01,11:45:00,1.10107,1.1014,1.10082,1.10133,867
2023.05.01,12:00:00,1.10134,1.10134,1.10077,1.10116,1146
2023.05.01,12:15:00,1.10117,1.10199,1.10116,1.10166,1433
2023.05.01,12:30:00,1.10164,1.10302,1.10131,1.10297,1892
2023.05.01,12:45:00,1.10296,1.10335,1.10251,1.10327,1785
2023.05.01,13:00:00,1.10328,1.10355,1.10261,1.10265,1691
2023.05.01,13:15:00,1.10266,1.10287,1.10208,1.10248,1026
2023.05.01,13:30:00,1.1025,1.10264,1.1022,1.1023,1662
2023.05.01,13:45:00,1.1023,1.10274,1.1018,1.10187,1579
2023.05.01,14:00:00,1.10186,1.10186,1.0995,1.09961,4717
2023.05.01,14:15:00,1.09961,1.09978,1.09834,1.09852,2621
2023.05.01,14:30:00,1.09852,1.09919,1.09783,1.09804,2461
2023.05.01,14:45:00,1.09804,1.09861,1.09778,1.09815,2206
2023.05.01,15:00:00,1.09814,1.0982,1.09699,1.09713,2128
2023.05.01,15:15:00,1.09712,1.09759,1.09679,1.09689,1630
2023.05.01,15:30:00,1.09689,1.0971,1.09661,1.09683,1257
2023.05.01,15:45:00,1.09683,1.09716,1.09669,1.09692,1207
2023.05.01,16:00:00,1.09692,1.09706,1.09644,1.09648,822
2023.05.01,16:15:00,1.09647,1.0967,1.09643,1.09662,772
2023.05.01,16:30:00,1.09662,1.09714,1.09648,1.09681,999
2023.05.01,16:45:00,1.0968,1.09705,1.09665,1.09675,901
2023.05.01,17:00:00,1.09674,1.09696,1.09662,1.09693,797
2023.05.01,17:15:00,1.09692,1.09715,1.09692,1.09709,623
2023.05.01,17:30:00,1.09709,1.09715,1.09653,1.09675,743
2023.05.01,17:45:00,1.09675,1.0972,1.09672,1.09719,509
2023.05.01,18:00:00,1.09718,1.09753,1.09687,1.09726,722
2023.05.01,18:15:00,1.09729,1.09756,1.09724,1.09741,567
2023.05.01,18:30:00,1.09741,1.09747,1.09689,1.09694,490
2023.05.01,18:45:00,1.09693,1.09735,1.09689,1.09694,874
2023.05.01,19:00:00,1.09694,1.09699,1.09671,1.09683,728
2023.05.01,19:15:00,1.09682,1.09705,1.09667,1.09673,545
2023.05.01,19:30:00,1.09673,1.09696,1.09657,1.09657,682
2023.05.01,19:45:00,1.09657,1.09733,1.09657,1.09727,603
2023.05.01,20:00:00,1.09727,1.09742,1.09713,1.09735,930
2023.05.01,20:15:00,1.09735,1.09749,1.09726,1.09746,635
2023.05.01,20:30:00,1.09745,1.0976,1.09738,1.09759,269
2023.05.01,20:45:00,1.09759,1.09766,1.09741,1.09741,424
2023.05.01,21:00:00,1.09741,1.09752,1.09733,1.09746,113
2023.05.01,21:15:00,1.09745,1.09746,1.09745,1.09745,62
2023.05.01,21:30:00,1.09745,1.09745,1.09745,1.09745,5
2023.05.01,21:45:00,1.09733,1.09757,1.09721,1.09753,152
2023.05.01,22:00:00,1.09752,1.0976,1.09733,1.09748,231
2023.05.01,22:15:00,1.09748,1.09749,1.09736,1.09745,160
2023.05.01,22:30:00,1.09744,1.09756,1.09744,1.09749,162
2023.05.01,22:45:00,1.09749,1.09752,1.09734,1.09739,176
2023.05.01,23:00:00,1.09739,1.09742,1.09711,1.09714,293
2023.05.01,23:15:00,1.09714,1.09719,1.09692,1.09719,384
2023.05.01,23:30:00,1.09719,1.09721,1.09693,1.09699,511
2023.05.01,23:45:00,1.09698,1.09699,1.09672,1.09687,331
2023.05.02,00:00:00,1.09687,1.09785,1.09685,1.09776,724
2023.05.02,00:15:00,1.09776,1.09776,1.09741,1.09765,704
2023.05.02,00:30:00,1.09763,1.0978,1.09752,1.09761,534
2023.05.02,00:45:00,1.09761,1.09791,1.09747,1.09789,744
2023.05.02,01:00:00,1.09788,1.09872,1.09785,1.09868,819
2023.05.02,01:15:00,1.09868,1.09941,1.09856,1.09926,992
2023.05.02,01:30:00,1.09926,1.09943,1.09905,1.09908,868
2023.05.02,01:45:00,1.09907,1.09913,1.09864,1.0988,770
2023.05.02,02:00:00,1.09883,1.09901,1.09876,1.09899,577
2023.05.02,02:15:00,1.09899,1.09913,1.09866,1.09886,467
2023.05.02,02:30:00,1.09887,1.09891,1.0986,1.09868,387
2023.05.02,02:45:00,1.09869,1.09893,1.09866,1.09885,421
2023.05.02,03:00:00,1.09885,1.09886,1.09869,1.09876,335
2023.05.02,03:15:00,1.09878,1.0988,1.09853,1.09863,383
2023.05.02,03:30:00,1.09864,1.09869,1.09848,1.0986,374
2023.05.02,03:45:00,1.09861,1.09861,1.09833,1.09839,464
2023.05.02,04:00:00,1.0984,1.09856,1.09833,1.09842,472
2023.05.02,04:15:00,1.09842,1.09858,1.09813,1.09819,389
2023.05.02,04:30:00,1.0982,1.0989,1.0979,1.09825,2165
2023.05.02,04:45:00,1.09824,1.09874,1.09821,1.09845,798
2023.05.02,05:00:00,1.09844,1.0988,1.09834,1.09874,1189
2023.05.02,05:15:00,1.09874,1.09915,1.09865,1.09907,912
2023.05.02,05:30:00,1.09907,1.09927,1.09869,1.09876,842
2023.05.02,05:45:00,1.0988,1.09886,1.09832,1.09834,865
2023.05.02,06:00:00,1.09834,1.09917,1.0983,1.0987,1006
2023.05.02,06:15:00,1.09871,1.09921,1.09865,1.09896,949
2023.05.02,06:30:00,1.09896,1.09906,1.09855,1.09875,1015
2023.05.02,06:45:00,1.09874,1.09946,1.09849,1.09914,1244
2023.05.02,07:00:00,1.09915,1.10016,1.09899,1.0999,2002
2023.05.02,07:15:00,1.0999,1.10066,1.09966,1.09967,1590
2023.05.02,07:30:00,1.09966,1.10045,1.09941,1.10015,1621
2023.05.02,07:45:00,1.10017,1.10028,1.09823,1.09855,1806
2023.05.02,08:00:00,1.09855,1.09865,1.09598,1.09648,3166
2023.05.02,08:15:00,1.09649,1.09765,1.09636,1.09705,1769
2023.05.02,08:30:00,1.09716,1.09746,1.09666,1.09746,1489
2023.05.02,08:45:00,1.09745,1.09848,1.09716,1.09718,1783
2023.05.02,09:00:00,1.09717,1.09817,1.09694,1.09696,1658
2023.05.02,09:15:00,1.09694,1.09716,1.09536,1.09551,1780
2023.05.02,09:30:00,1.09551,1.09606,1.09519,1.09581,1534
2023.05.02,09:45:00,1.0958,1.09602,1.09492,1.09526,1304
2023.05.02,10:00:00,1.09526,1.09597,1.0948,1.09589,1369
2023.05.02,10:15:00,1.09588,1.096,1.095,1.09547,1044
2023.05.02,10:30:00,1.09547,1.09554,1.09492,1.09552,1025
2023.05.02,10:45:00,1.09552,1.09597,1.09548,1.09569,971
2023.05.02,11:00:00,1.09569,1.09739,1.09568,1.09731,1184
2023.05.02,11:15:00,1.09732,1.09761,1.09698,1.09713,1341
2023.05.02,11:30:00,1.09713,1.09713,1.09659,1.0968,1011
2023.05.02,11:45:00,1.0968,1.09694,1.0965,1.09676,1077
2023.05.02,12:00:00,1.09676,1.09681,1.09614,1.09615,1282
2023.05.02,12:15:00,1.09614,1.09681,1.09609,1.0965,1218
2023.05.02,12:30:00,1.09649,1.09694,1.09601,1.09691,1379
2023.05.02,12:45:00,1.09691,1.09705,1.09541,1.09552,1544
2023.05.02,13:00:00,1.09552,1.09578,1.09488,1.0949,1786
2023.05.02,13:15:00,1.09489,1.09551,1.09488,1.09546,1518
2023.05.02,13:30:00,1.09548,1.09574,1.09511,1.09568,1971
2023.05.02,13:45:00,1.09569,1.09591,1.09422,1.09434,2139
2023.05.02,14:00:00,1.09432,1.09713,1.09431,1.09612,4813
2023.05.02,14:15:00,1.09613,1.09626,1.09519,1.09586,3261
2023.05.02,14:30:00,1.09588,1.0993,1.09587,1.09919,3596
2023.05.02,14:45:00,1.09917,1.09921,1.0974,1.09792,2943
2023.05.02,15:00:00,1.0979,1.09887,1.09776,1.09869,2536
2023.05.02,15:15:00,1.09869,1.09911,1.09804,1.09822,2188
2023.05.02,15:30:00,1.09822,1.09893,1.09801,1.09882,1826
2023.05.02,15:45:00,1.09882,1.09975,1.09846,1.09965,1771
2023.05.02,16:00:00,1.09964,1.10023,1.09955,1.09968,1486
2023.05.02,16:15:00,1.09968,1.10011,1.09953,1.09973,1094
2023.05.02,16:30:00,1.09974,1.09998,1.0994,1.09988,892
2023.05.02,16:45:00,1.09988,1.1003,1.09988,1.09998,845
2023.05.02,17:00:00,1.09998,1.10011,1.09961,1.09963,701
2023.05.02,17:15:00,1.09965,1.09987,1.09946,1.09987,692
2023.05.02,17:30:00,1.09989,1.10022,1.09982,1.10022,631
2023.05.02,17:45:00,1.10023,1.10035,1.09972,1.09972,552
2023.05.02,18:00:00,1.09974,1.10008,1.09971,1.09995,805
2023.05.02,18:15:00,1.09996,1.10016,1.09981,1.10004,617
2023.05.02,18:30:00,1.10004,1.10008,1.09984,1.09996,457
2023.05.02,18:45:00,1.09997,1.10012,1.09992,1.10011,482
2023.05.02,19:00:00,1.10012,1.10046,1.10005,1.10021,740
2023.05.02,19:15:00,1.10023,1.1005,1.10003,1.10036,448
2023.05.02,19:30:00,1.10038,1.10057,1.10028,1.10044,488
2023.05.02,19:45:00,1.10044,1.10078,1.10044,1.10057,413
2023.05.02,20:00:00,1.10057,1.10068,1.10028,1.10029,280
2023.05.02,20:15:00,1.1003,1.10051,1.10015,1.10016,223
2023.05.02,20:30:00,1.10016,1.1002,1.09986,1.09989,253
2023.05.02,20:45:00,1.0999,1.09998,1.09975,1.09989,201
2023.05.02,21:00:00,1.09989,1.10002,1.09989,1.09995,81
2023.05.02,21:15:00,1.09995,1.10021,1.09995,1.10014,73
2023.05.02,21:30:00,1.10013,1.10025,1.10013,1.1002,40
2023.05.02,21:45:00,1.1002,1.1002,1.10002,1.10003,559
2023.05.02,22:00:00,1.10013,1.1003,1.10003,1.10021,356
2023.05.02,22:15:00,1.10021,1.1005,1.10018,1.10039,361
2023.05.02,22:30:00,1.10039,1.10053,1.10039,1.10051,138
2023.05.02,22:45:00,1.10052,1.10063,1.10046,1.10063,270
2023.05.02,23:00:00,1.10063,1.10105,1.10048,1.10093,413
2023.05.02,23:15:00,1.10092,1.10135,1.10088,1.10107,313
2023.05.02,23:30:00,1.10108,1.10137,1.10099,1.1012,347
2023.05.02,23:45:00,1.10118,1.1012,1.10097,1.10107,331
2023.05.03,00:00:00,1.1011,1.10129,1.10048,1.1007,592
2023.05.03,00:15:00,1.10071,1.10122,1.10064,1.10122,388
2023.05.03,00:30:00,1.10124,1.10204,1.10121,1.10177,612
2023.05.03,00:45:00,1.10178,1.10184,1.10161,1.10172,306
2023.05.03,01:00:00,1.10173,1.10173,1.10128,1.10147,453
2023.05.03,01:15:00,1.10146,1.10192,1.10143,1.10189,520
2023.05.03,01:30:00,1.10188,1.10207,1.10156,1.1019,633
2023.05.03,01:45:00,1.1019,1.1024,1.1019,1.10227,659
2023.05.03,02:00:00,1.10228,1.10245,1.10207,1.10219,638
2023.05.03,02:15:00,1.10222,1.10224,1.10197,1.102,451
2023.05.03,02:30:00,1.102,1.10243,1.102,1.10243,294
2023.05.03,02:45:00,1.10243,1.10258,1.10241,1.10253,412
2023.05.03,03:00:00,1.10252,1.10293,1.10251,1.10288,382
2023.05.03,03:15:00,1.10288,1.10293,1.10259,1.10273,397
2023.05.03,03:30:00,1.10274,1.10278,1.10252,1.10272,287
2023.05.03,03:45:00,1.10273,1.10297,1.10266,1.10294,258
2023.05.03,04:00:00,1.10294,1.10294,1.10273,1.10273,389
2023.05.03,04:15:00,1.10269,1.1027,1.10235,1.10236,452
2023.05.03,04:30:00,1.10235,1.1025,1.10221,1.10246,396
2023.05.03,04:45:00,1.1025,1.10256,1.10212,1.10216,376
2023.05.03,05:00:00,1.10217,1.10259,1.10216,1.10259,578
2023.05.03,05:15:00,1.10263,1.10263,1.10211,1.10226,577
2023.05.03,05:30:00,1.10225,1.10234,1.1021,1.10221,512
2023.05.03,05:45:00,1.10221,1.10228,1.10182,1.102,536
2023.05.03,06:00:00,1.10199,1.10237,1.10164,1.10167,733
2023.05.03,06:15:00,1.10167,1.10205,1.10142,1.10191,780
2023.05.03,06:30:00,1.10191,1.10295,1.10177,1.10275,1099
2023.05.03,06:45:00,1.10274,1.10317,1.10254,1.10306,971
2023.05.03,07:00:00,1.10303,1.10345,1.10259,1.10327,1682
2023.05.03,07:15:00,1.10329,1.10411,1.1032,1.10385,1418
2023.05.03,07:30:00,1.10384,1.10411,1.10325,1.10334,1496
2023.05.03,07:45:00,1.10333,1.10352,1.10294,1.10343,1055
2023.05.03,08:00:00,1.10344,1.10447,1.10343,1.10365,1625
2023.05.03,08:15:00,1.10365,1.10407,1.10355,1.10376,1198
2023.05.03,08:30:00,1.10374,1.10465,1.10344,1.10457,1001
2023.05.03,08:45:00,1.10457,1.10468,1.10395,1.10395,1051
2023.05.03,09:00:00,1.10395,1.10468,1.10388,1.1043,1064
2023.05.03,09:15:00,1.10431,1.10457,1.10389,1.10441,1038
2023.05.03,09:30:00,1.10442,1.10442,1.10365,1.10398,931
2023.05.03,09:45:00,1.10397,1.10435,1.10377,1.10403,1034
2023.05.03,10:00:00,1.10403,1.10404,1.10338,1.10392,1068
2023.05.03,10:15:00,1.10392,1.10397,1.10327,1.10362,1007
2023.05.03,10:30:00,1.10361,1.10383,1.10325,1.10358,865
2023.05.03,10:45:00,1.10357,1.10357,1.10296,1.10328,887
2023.05.03,11:00:00,1.10329,1.10394,1.10319,1.10381,792
2023.05.03,11:15:00,1.1038,1.10395,1.10337,1.10385,732
2023.05.03,11:30:00,1.10384,1.10436,1.10324,1.10405,1066
2023.05.03,11:45:00,1.10405,1.10427,1.10341,1.10395,1201
2023.05.03,12:00:00,1.10396,1.10435,1.10379,1.10412,1347
2023.05.03,12:15:00,1.10412,1.10416,1.1022,1.10375,3228
2023.05.03,12:30:00,1.10378,1.1042,1.10331,1.10335,1896
2023.05.03,12:45:00,1.10336,1.10401,1.10315,1.10384,1316
2023.05.03,13:00:00,1.10384,1.10434,1.10335,1.10409,1619
2023.05.03,13:15:00,1.10408,1.10419,1.1036,1.10381,1418
2023.05.03,13:30:00,1.10381,1.10404,1.10312,1.10363,2031
2023.05.03,13:45:00,1.10361,1.10385,1.10295,1.10316,1914
2023.05.03,14:00:00,1.10316,1.10537,1.10316,1.10486,3176
2023.05.03,14:15:00,1.10487,1.10521,1.10392,1.10452,1723
2023.05.03,14:30:00,1.10454,1.10545,1.10437,1.10544,1529
2023.05.03,14:45:00,1.10546,1.10593,1.10461,1.10527,2222
2023.05.03,15:00:00,1.10526,1.10582,1.105,1.1057,1698
2023.05.03,15:15:00,1.10573,1.10585,1.10544,1.10549,1362
2023.05.03,15:30:00,1.10549,1.10566,1.10482,1.1054,1329
2023.05.03,15:45:00,1.10539,1.10548,1.10478,1.10478,927
2023.05.03,16:00:00,1.10478,1.10518,1.10462,1.1051,668
2023.05.03,16:15:00,1.1051,1.10524,1.10446,1.10511,795
2023.05.03,16:30:00,1.10512,1.10528,1.10445,1.10522,861
2023.05.03,16:45:00,1.10522,1.10523,1.10451,1.10468,673
2023.05.03,17:00:00,1.10467,1.10476,1.10416,1.10469,798
2023.05.03,17:15:00,1.10469,1.10494,1.10465,1.10494,621
2023.05.03,17:30:00,1.10495,1.10516,1.10465,1.10506,811
2023.05.03,17:45:00,1.10505,1.10529,1.10465,1.10491,920
2023.05.03,18:00:00,1.10492,1.10916,1.10472,1.10692,6636
2023.05.03,18:15:00,1.1069,1.10703,1.1059,1.10628,3674
2023.05.03,18:30:00,1.10628,1.10639,1.10371,1.10536,7077
2023.05.03,18:45:00,1.10537,1.10625,1.10442,1.10599,5241
2023.05.03,19:00:00,1.106,1.10601,1.10404,1.10444,4959
2023.05.03,19:15:00,1.10444,1.10636,1.10432,1.10543,4625
2023.05.03,19:30:00,1.10545,1.10545,1.10406,1.1045,2665
2023.05.03,19:45:00,1.1045,1.1058,1.10447,1.10544,2029
2023.05.03,20:00:00,1.10544,1.10557,1.10515,1.10525,788
2023.05.03,20:15:00,1.10526,1.10584,1.10519,1.10578,311
2023.05.03,20:30:00,1.10577,1.10577,1.1055,1.10569,286
2023.05.03,20:45:00,1.1057,1.10627,1.10568,1.10599,1116
2023.05.03,21:00:00,1.10599,1.10601,1.1059,1.10594,117
2023.05.03,21:15:00,1.10594,1.10622,1.10594,1.10615,125
2023.05.03,21:30:00,1.10614,1.1066,1.10609,1.10655,203
2023.05.03,21:45:00,1.10652,1.10658,1.10603,1.10609,160
2023.05.03,22:00:00,1.10609,1.1078,1.10607,1.1073,1147
2023.05.03,22:15:00,1.10729,1.1076,1.10701,1.10749,1290
2023.05.03,22:30:00,1.1075,1.1078,1.10707,1.10759,1408
2023.05.03,22:45:00,1.10759,1.10762,1.10672,1.10679,941
2023.05.03,23:00:00,1.10677,1.10698,1.1064,1.10696,1057
2023.05.03,23:15:00,1.10697,1.1071,1.10672,1.10687,740
2023.05.03,23:30:00,1.10686,1.10727,1.10681,1.10717,635
2023.05.03,23:45:00,1.10717,1.10717,1.10682,1.10685,723
2023.05.04,00:00:00,1.10686,1.10839,1.10686,1.10797,1175
2023.05.04,00:15:00,1.10798,1.10872,1.10773,1.10777,1094
2023.05.04,00:30:00,1.10777,1.10808,1.10759,1.10768,761
2023.05.04,00:45:00,1.10768,1.10803,1.10745,1.10757,813
2023.05.04,01:00:00,1.10758,1.10761,1.10713,1.10742,1041
2023.05.04,01:15:00,1.10743,1.10783,1.10732,1.10777,1013
2023.05.04,01:30:00,1.10778,1.10841,1.10777,1.1083,1222
2023.05.04,01:45:00,1.10831,1.10833,1.10796,1.10814,903
2023.05.04,02:00:00,1.10816,1.10845,1.10807,1.10833,687
2023.05.04,02:15:00,1.10833,1.10856,1.10823,1.10842,559
2023.05.04,02:30:00,1.10844,1.10854,1.10803,1.1082,681
2023.05.04,02:45:00,1.1082,1.10875,1.10815,1.1084,1056
2023.05.04,03:00:00,1.10841,1.10858,1.10827,1.10842,536
2023.05.04,03:15:00,1.10841,1.10852,1.10814,1.10847,635
2023.05.04,03:30:00,1.10847,1.10849,1.10803,1.10806,465
2023.05.04,03:45:00,1.10806,1.10823,1.10802,1.10812,323
2023.05.04,04:00:00,1.10812,1.10834,1.10809,1.10812,384
2023.05.04,04:15:00,1.10816,1.10835,1.10794,1.10818,357
2023.05.04,04:30:00,1.10818,1.10873,1.10815,1.10863,573
2023.05.04,04:45:00,1.10862,1.10863,1.10811,1.10814,485
2023.05.04,05:00:00,1.10814,1.10851,1.10798,1.10847,737
2023.05.04,05:15:00,1.10847,1.10854,1.10831,1.10836,415
2023.05.04,05:30:00,1.10836,1.10878,1.10831,1.10845,691
2023.05.04,05:45:00,1.10845,1.10864,1.1082,1.10839,796
2023.05.04,06:00:00,1.10841,1.10909,1.10804,1.10906,1364
2023.05.04,06:15:00,1.10909,1.10917,1.10824,1.10885,1641
2023.05.04,06:30:00,1.10885,1.10885,1.1073,1.10746,1645
2023.05.04,06:45:00,1.10746,1.108,1.10727,1.10753,1606
2023.05.04,07:00:00,1.10754,1.10767,1.10657,1.10692,2244
2023.05.04,07:15:00,1.10691,1.10727,1.10651,1.10678,1911
2023.05.04,07:30:00,1.10678,1.10687,1.10606,1.10616,1861
